staSeq,locationName,ylat,xlong,type
16709,Grimes Brook,41.8822,-72.8178,Stream Connectivity
16913,NNT to Chatfield Hollow Brook,41.335825,-72.592364,Stream Connectivity
17006,Roaring Brook,41.7153,-72.5061,Stream Connectivity
17013,Rose Brook,41.4797,-72.0119,Stream Connectivity
17534,Bride Brook,41.32329,-72.24194,Stream Connectivity
17542,Bride Brook,41.32269,-72.24241,Stream Connectivity
17707,West River,41.364,-72.9794,Stream Connectivity
18533,Chester Creek,41.409183,-72.47259,Stream Connectivity
18720,East Branch Eightmile River,41.42763,-72.33381,Stream Connectivity
19022,Comstock Brook,41.204447,-73.447964,Stream Connectivity
19240,Farm River,41.320175,-72.84583,Stream Connectivity
19657,Bunnell Brook,41.786255,-72.964622,Stream Connectivity
19838,NNT to Hop Brook,41.74183,-72.50152,Stream Connectivity
20023,Hammonasset River,41.339982,-72.613523,Stream Connectivity
20059,Race Brook,41.30342,-73.01678,Stream Connectivity
20153,Bunnell Brook,41.783449,-72.962892,Stream Connectivity
20245,Race Brook,41.294617,-73.024703,Stream Connectivity
20623,Misery Brook,41.582016,-72.860881,Stream Connectivity
20800,Whigville Brook,41.73375,-72.94402,Stream Connectivity
20813,Farmington River,41.900358,-72.686301,Stream Connectivity
20857,East Branch Farmington River,41.867615,-72.954411,Stream Connectivity
21033,Menunketesuck River,41.323581,-72.523094,Stream Connectivity
